path,true_class,pred_class,correct,method,noise_spearman,noise_ssim,noise_iou,noise_robustness,brightness_spearman,brightness_ssim,brightness_iou,brightness_robustness,rotation_spearman,rotation_ssim,rotation_iou,rotation_robustness,overall_robustness
C:\Git programs\AIMS research\EXCV cursor\data\COVID_19_dataset\test\COVID\COVID-1010.png,COVID,COVID,True,Grad-CAM,0.8244637539425124,0.5276027921776977,0.27248009322198485,0.5698103671969097,0.9972771644251759,0.9947842146745918,0.8779019776440241,0.9607167234656552,0.9848845684944425,0.9399354872824099,0.421875,0.8024969735824999,0.7776746880816883
C:\Git programs\AIMS research\EXCV cursor\data\COVID_19_dataset\test\COVID\COVID-1010.png,COVID,COVID,True,Integrated Gradients,0.7069906896537373,0.3776780292417826,0.06988896146309602,0.4170663730729586,0.940366797993688,0.9372415993227949,0.6507936507936508,0.8525572942324089,0.7465935927577344,0.45615210211873425,0.11580381471389646,0.47022421215288296,0.5799492931527502
C:\Git programs\AIMS research\EXCV cursor\data\COVID_19_dataset\test\COVID\COVID-1015.png,COVID,COVID,True,Grad-CAM,0.8480456845073798,0.4028483462358299,0.1165644171779141,0.49504210282707517,0.92614222534589,0.7955344941371696,0.0963855421686747,0.6380329010301093,0.7544350931436261,0.18673136312167668,0.0,0.3577934461939534,0.496956150017046
C:\Git programs\AIMS research\EXCV cursor\data\COVID_19_dataset\test\COVID\COVID-1015.png,COVID,COVID,True,Integrated Gradients,0.625740837121769,0.24679016400585485,0.07234042553191489,0.34603551171003855,0.9295294586256819,0.9035600619189944,0.5787951807228916,0.8165183562428385,0.7297996448469987,0.5054416637493049,0.16211422490244767,0.49218662453432527,0.5515801641624009
C:\Git programs\AIMS research\EXCV cursor\data\COVID_19_dataset\test\COVID\COVID-1040.png,COVID,COVID,True,Grad-CAM,0.8242691436385591,0.5976177196696367,0.0,0.5089929733563147,0.9809567959435903,0.9475456503290545,0.23389830508474577,0.7468159050015762,0.9205661192098608,0.8414258447228269,0.04215046922220455,0.6332993418674536,0.6297027400751148
C:\Git programs\AIMS research\EXCV cursor\data\COVID_19_dataset\test\COVID\COVID-1040.png,COVID,COVID,True,Integrated Gradients,0.7124900816448632,0.3898868164545828,0.08963911525029103,0.42885381216940743,0.9563976481662466,0.9599657943243376,0.7018181818181818,0.8810942521092546,0.7073082400057267,0.37924320143327134,0.0874688796680498,0.422936920332687,0.577628328203783
C:\Git programs\AIMS research\EXCV cursor\data\COVID_19_dataset\test\COVID\COVID-1054.png,COVID,COVID,True,Grad-CAM,0.9536102781823361,0.8590453925713551,0.2556535070908394,0.7158537811715929,0.9963923587346883,0.9900131987792283,0.8969310943833236,0.964640231442641,0.9512717424783101,0.8913967690699754,0.5478384124734231,0.8122792514543435,0.8309244213561925
C:\Git programs\AIMS research\EXCV cursor\data\COVID_19_dataset\test\COVID\COVID-1054.png,COVID,COVID,True,Integrated Gradients,0.6739754860659218,0.3766526673474506,0.07780885013982564,0.4059286496725516,0.8889317931937171,0.8555015459912804,0.4543840177580466,0.748538386402285,0.6933644482696033,0.3755556535993576,0.07357037522529904,0.4120835879552383,0.5221835413433583
C:\Git programs\AIMS research\EXCV cursor\data\COVID_19_dataset\test\COVID\COVID-1074.png,COVID,COVID,True,Grad-CAM,0.7995616334563711,0.5793389590472425,0.13278008298755187,0.5334603659929867,0.9881875185495287,0.9682069276394635,0.4887525562372188,0.8323628525828162,0.9326260124375343,0.8518913354149964,0.3805309734513274,0.7427770976349108,0.7028667720702378
C:\Git programs\AIMS research\EXCV cursor\data\COVID_19_dataset\test\COVID\COVID-1074.png,COVID,COVID,True,Integrated Gradients,0.7328839635120145,0.4315412569406321,0.10619618436603073,0.4544748177968046,0.8683719176439633,0.749819355120993,0.37733865881858314,0.6854961712394582,0.7498715730926505,0.46178109858796357,0.1240349974266598,0.47569345804144725,0.53855481569257
